lemma,freq_rank,raw_freq,source_forms,source_count
uno,15,4402169,una|uno|unos,4
del,31,1647872,del,1
más,36,1503767,más,2
todo,39,2422697,todo|todos|todas|toda,5
mucho,43,1907292,muy|mucho|muchas|muchos|mucha,5
esta,45,1051900,esta,1
así,46,1050332,así,1
algo,48,1039568,algo,2
gracia,70,795863,gracias|gracia,3
vez,71,963250,vez|veces,3
entonces,87,610284,entonces,2
verdad,90,590977,verdad|verdades,2
tan,92,574148,tan,2
dos,96,556613,dos,2
nunca,98,549997,nunca,1
favor,102,531344,favor|favores,4
mejor,108,500478,mejor,1
también,112,488057,también,1
dios,114,495630,dios|dioses|diosa|diosas,4
alguien,123,447141,alguien,1
cosa,124,693855,cosas|cosa,2
siempre,125,424363,siempre,1
ahí,127,422871,ahí,1
años,129,408547,años,1
poco,133,440650,poco|pocos|pocas|poca,4
otro,140,837642,otra|otro|otros|otras,4
acuerdo,141,368906,acuerdo|acuerdos,2
nadie,151,339772,nadie,1
tal,158,317926,tal,1
momento,167,316668,momento|momentos,2
estado,170,319891,estado|estados,2
menos,190,263837,menos,1
tipo,191,299043,tipo|tipos,2
gran,193,257648,gran,1
mamá,196,247700,mamá,1
luego,197,245811,luego,1
papá,198,243251,papá,1
días,199,243003,días,1
tres,202,239782,tres,1
conmigo,215,224527,conmigo,1
mierda,217,224903,mierda|mierdas,2
realmente,221,217847,realmente,1
estas,222,216844,estas,1
aún,223,215129,aún,1
mío,224,212096,mío,1
hacerlo,226,209901,hacerlo,1
cada,227,209674,cada,1
contigo,230,202208,contigo,1
razón,233,198832,razón,1
tanto,235,256323,tanto|tanta|tantas|tantos,4
cierto,246,217841,cierto|cierta|ciertas|ciertos,4
demasiado,249,205177,demasiado|demasiada|demasiados|demasiadas,4
amor,250,183979,amor|amores,2
pasado,253,181034,pasado|pasados,2
policía,256,175471,policía,1
chico,259,577694,chica|chicos|chico|chicas,4
cuenta,262,192829,cuenta|cuentas,2
todavía,264,166624,todavía,1
algún,266,163790,algún,1
vaya,267,201426,vaya|vayas,2
cabeza,274,166610,cabeza|cabezas,2
cariño,276,153353,cariño,1
cualquiera,282,193606,cualquier|cualquiera|cualesquiera,3
mientras,284,150383,mientras,1
lado,285,165638,lado|lados,2
caso,288,167430,caso|casos,2
primera,291,153461,primera|primeras,2
genial,292,150930,genial|geniales,2
supuesto,294,145080,supuesto|supuestos,2
pues,296,144056,pues,2
quizá,303,140794,quizá,1
contra,304,141064,contra|contras,2
durante,306,139987,durante,1
muerto,309,177110,muerto|muertos,2
cuál,312,136406,cuál,1
suponer,316,205279,supongo|supone|supuse|suponer|supongamos|suponiendo|supones|suponga|supuesta|supuso|suponemos|suponen|supusimos|supuestas,14
dentro,319,133954,dentro,1
casi,320,133614,casi,1
significa,325,130774,significa,1
hacia,327,130000,hacia,1
quizás,328,129544,quizás,1
junto,330,167147,juntos|junto,2
niños,332,128856,niños,1
pronto,333,128476,pronto|pronta,2
tío,334,127895,tío,1
suerte,335,127907,suerte|suertes,2
siquiera,337,126506,siquiera,1
cuánto,343,123138,cuánto,1
hey,345,122432,hey,1
muerte,346,128427,muerte|muertes,2
dejar,347,408433,dejar|déjame|dejado|dejaste|dejen|dejamos|dejan|dejaron|dejando|dejemos|dejara|dejaremos|dejaba|dejad|dejaras|dejaran|dejare|dejaban|dejarse|dejase|dejabas|dejados|dejasteis|dejases,24
realidad,348,121615,realidad|realidades,2
deja,349,143919,deja|dejas,2
corazón,355,118685,corazón,1
miedo,356,121067,miedo|miedos,2
jefe,357,135404,jefe|jefa|jefes,3
justo,360,119332,justo|justos,2
esposa,364,114925,esposa,1
ojo,370,142361,ojos|ojo,2
adelantar,371,115539,adelante|adelantar|adelantando|adelantada|adelantamos|adelantemos|adelantaron,7
cinco,374,112803,cinco,2
ninguno,376,149671,ninguna|ninguno|ningunas|ningunos,4
cara,378,122582,cara|caras,2
cuidado,379,114591,cuidado|cuidados,2
bastante,385,113273,bastante|bastantes,2
fin,386,109402,fin,1
único,388,108435,único,1
ningún,391,107193,ningún,1
suficiente,392,118336,suficiente|suficientes,2
punto,393,126847,punto|puntos,2
haya,396,135810,haya|hayas,2
equipo,397,118959,equipo|equipos,2
incluso,401,105304,incluso,1
doctor,403,104991,doctor,1
cuatro,411,103805,cuatro,1
mas,412,103445,mas,1
toma,416,102733,toma,1
allá,418,102642,allá,1
última,419,102333,última,1
arriba,420,102254,arriba,1
tierra,421,112755,tierra|tierras,2
guerra,422,106482,guerra|guerras,2
igual,425,101272,igual,1
loco,426,175689,loco|loca|locos|locas,4
sangre,427,99844,sangre,1
vuelta,429,112728,vuelta|vueltas,2
juego,433,117103,juego|juegos,2
cuerpo,435,114461,cuerpo|cuerpos,2
oportunidad,442,102344,oportunidad|oportunidades,2
final,445,101899,final|finales,2
fiesta,447,107059,fiesta|fiestas,2
verse,451,130752,vete|veremos|verse|vistos|vere,5
auto,452,106829,auto|autos,2
meses,459,92062,meses,1
exactamente,460,91598,exactamente,1
culpa,461,93284,culpa|culpas,2
abajo,462,91298,abajo,1
ello,469,89741,ello,1
unir,473,147815,unas|unidos|unido|unir|une|unidas|unida|unen|unes|unimos|unieron|unan|uniste|uniera|uniendo|unamos|uniremos|unieras|unieran,19
atrás,475,88877,atrás,1
capitán,477,88550,capitán,1
sra,478,94087,sra,2
bebé,479,88307,bebé,1
segundo,480,159329,segundo|segunda|segundos,3
mayor,482,100457,mayor|mayores,2
morir,484,175484,morir|muere|muriendo|murieron|muero|mueren|mueres|muriera|moriremos|morimos|mueran|moriste|muriese|murieran|murieras,15
vino,489,88563,vino|vinos,2
lista,490,92877,lista|listas,2
probablemente,494,84911,probablemente,1
habitación,496,84704,habitación,1
trata,501,83906,trata,1
tampoco,504,83595,tampoco,1
amo,505,86157,amo|amos,2
sola,508,82229,sola,1
par,509,81901,par,1
única,510,81808,única,1
simplemente,514,80350,simplemente,1
medio,516,92761,medio|medios,2
puta,517,87882,puta|putas,2
sentido,519,83950,sentido|sentidos,2
segura,521,79393,segura,1
arma,524,135759,arma|armas,2
pequeña,526,78191,pequeña,1
dólares,527,77319,dólares,1
seis,528,77064,seis,1
seguridad,530,76807,seguridad,1
maldito,531,163133,maldita|maldito|malditos|malditas,4
preocupes,533,76606,preocupes,1
queda,536,90478,queda|quedas,2
oficina,537,79971,oficina|oficinas,2
matar,538,181665,matar|matado|mataron|mataste|matando|maten|matan|matamos|matara|mataran|mataremos|mataba|matemos|matare|mataras|mataban|matase|matad|matasen|matasteis,20
iré,539,75521,iré,1
además,541,75259,además,1
oído,543,75123,oído,1
habría,544,74848,habría,1
estará,545,74836,estará,1
recuerdo,547,92249,recuerdo|recuerdos,2
acerca,549,74051,acerca,1
demonio,554,92130,demonios|demonio,2
verter,556,74271,verte|verter|vierte|vertiendo,4
sitio,558,82262,sitio|sitios,2
marido,562,74778,marido|maridos,2
paz,563,72000,paz,1
idiota,564,87742,idiota|idiotas,2
plan,565,96470,plan|planes,2
dado,566,74565,dado|dados,2
cuanto,567,97508,cuanto|cuantos|cuantas|cuanta,4
peor,568,79895,peor|peores,2
murió,569,70466,murió,1
pueblo,570,74474,pueblo|pueblos,2
john,573,69978,john,1
basta,574,69973,basta,1
paso,575,82439,paso|pasos,2
deberíamos,576,69574,deberíamos,1
anoche,580,68870,anoche,1
rey,585,75139,rey|reyes,2
falta,588,68428,falta|faltas,2
pienso,589,67140,pienso,1
diablo,590,95984,diablos|diablo,2
perdido,591,88447,perdido|perdida|perdidos|perdidas,4
diez,594,66429,diez,1
hospital,596,70246,hospital|hospitales,2
llamado,600,68984,llamado|llamados,2
fuego,603,69725,fuego|fuegos,2
aqui,604,65202,aqui,1
acaba,608,64600,acaba,1
prueba,609,109454,prueba|pruebas,2
increíble,610,64527,increíble,1
orden,613,64437,orden,1
mía,616,64132,mía,1
duro,618,69623,duro|duros,2
aforar,620,63387,afuera,1
perro,622,122629,perro|perra|perros|perras,4
cielo,623,91535,cielo|cielos,2
jack,624,63390,jack|jacks,2
puesto,625,72124,puesto|puestos,2
cuarto,628,67508,cuarto|cuartos,2
querido,629,133191,querida|querido|queridos|queridas,4
haría,630,62547,haría,1
cual,636,71293,cual|cuales,2
diré,637,62193,diré,1
sonar,638,90838,suena|sonar|sonaba|suenas|suene|sonando|suenan|sonado|sueno|sonara|suenen|sonaban|sonabas|sonaron,14
habrá,643,61821,habrá,1
llamada,644,81768,llamada|llamadas,2
resto,645,70948,resto|restos,2
extraño,647,61249,extraño,1
presidente,649,67666,presidente|presidenta|presidentes,3
srta,650,64510,srta,2
irme,651,60622,irme,1
agente,655,76911,agente|agentes,2
información,657,60090,información,1
hará,659,59965,hará,1
éste,661,59792,éste,1
tratar,663,137359,tratando|tratar|trataba|trate|tratan|tratamos|trataron|traten|trataste|tratara|tratemos|trataremos|trataban|tratada|tratabas|trataran|tratare|tratadas|trataras|tratase,20
general,664,62835,general|generales,2
trato,665,61954,trato|tratos,2
perfecto,667,85502,perfecto|perfecta|perfectos|perfectas,4
modo,669,90574,modo|modos,2
demás,672,58811,demás,1
podríamos,674,58548,podríamos,1
noticia,675,82540,noticias|noticia,2
asesino,676,70480,asesino|asesinos,2
control,678,57479,control,1
odio,679,57630,odio|odios,2
frente,680,58186,frente|frentes,2
sexo,681,57746,sexo|sexos,2
decirle,682,57135,decirle,1
estaré,683,57085,estaré,1
divertir,684,88000,divertido|divertida|divirtiendo|divierte|divertidas|divertidos|divertimos|divertir|diviertas|diviertes|divierten|diviertan|divertiste|divierto|divertiremos|divierta|divirtieron,17
grupo,688,64975,grupo|grupos,2
asunto,689,80143,asunto|asuntos,2
acabo,690,56586,acabo,1
cállate,696,55856,cállate,1
daño,697,55599,daño,1
suceder,698,92307,sucede|suceder|sucediendo|suceda|suceden|sucediera|sucedieron|sucedan|sucediese,9
siguiente,700,60284,siguiente|siguientes,2
the,702,54966,the,1
boca,705,56113,boca|bocas,2
dejó,706,54435,dejó,1
error,707,68838,error|errores,2
jamás,708,54158,jamás,1
pena,710,56866,pena|penas,2
voz,711,60788,voz|voces,2
futuro,712,60234,futuro|futura|futuros|futuras,4
secreto,714,81925,secreto|secretos|secreta,3
baño,715,53455,baño,1
mil,716,83136,mil|miles,2
decirte,717,53207,decirte,1
sam,718,53082,sam,1
novia,720,52984,novia,1
propio,721,129623,propia|propio|propios|propias,4
sueño,722,52956,sueño,1
haz,723,52344,haz,1
fuerza,724,73678,fuerza|fuerzas,2
estábamos,727,52003,estábamos,1
ambos,728,66548,ambos|ambas,2
encontré,731,51507,encontré,1
dolor,733,56790,dolor|dolores,2
dile,734,51271,dile,1
encanta,735,51240,encanta,1
edad,736,52218,edad|edades,2
darle,737,51120,darle,1
pie,738,88288,pie|pies,2
negro,739,89489,negro|negra|negros|negras,4
york,741,50964,york,1
lamento,743,51539,lamento|lamentos,2
verlo,744,50765,verlo,1
asesinato,745,61961,asesinato|asesinatos,2
adónde,747,50674,adónde,1
disculpar,749,69352,disculpe|disculpen|disculpan|disculpad|disculpar|disculpado|disculpando|disculpamos,8
cita,751,59434,cita|citas,2
estaría,752,50270,estaría,1
sistema,754,58369,sistema|sistemas,2
gusto,755,52297,gusto|gustos,2
negocio,757,89449,negocio|negocios,2
mente,758,55613,mente|mentes,2
tuyo,759,57058,tuyo|tuyos,2
campo,760,58239,campo|campos,2
situación,762,49426,situación,1
tras,763,49345,tras,1
funciona,766,48956,funciona,1
abogado,768,67107,abogado|abogados|abogada,3
alrededor,771,51665,alrededor|alrededores,2
próxima,772,48701,próxima,1
mató,776,48583,mató,1
sentar,779,128821,sientes|sentado|sienta|sientas|sienten|sentados|sentar|sientan|sentamos|sentaba|sentaremos|sentaste|sentara|sentaron|sentando|sentemos|sentaras|sentaban,18
ocurrir,780,97525,ocurre|ocurrido|ocurra|ocurrir|ocurriendo|ocurren|ocurriera|ocurrieron|ocurriese|ocurran,10
ésta,781,48338,ésta,1
mitad,783,48709,mitad|mitades,2
pelo,785,52394,pelo|pelos,2
tenías,786,48183,tenías,1
oficial,788,62285,oficial|oficiales,2
llegó,789,47852,llegó,1
compañía,790,47842,compañía,1
relación,791,47824,relación,1
pase,793,53130,pase|pases,2
montón,794,47610,montón,1
mejores,795,47509,mejores,1
creí,796,47494,creí,1
cena,797,49435,cena|cenas,2
través,799,47295,través,1
accidente,800,51051,accidente|accidentes,2
caja,803,57096,caja|cajas,2
asi,807,46535,asi,1
vista,810,49726,vista|vistas,2
estúpido,811,46441,estúpido,1
línea,812,46341,línea,1
caballero,813,68570,caballeros|caballero,2
quédate,816,46054,quédate,1
entendido,819,46106,entendido|entendidos,2
centro,820,48174,centro|centros,2
salvo,821,51369,salvo|salva|salvos,3
joe,823,45615,joe,1
tonto,825,75092,tonto|tonta|tontos|tontas,4
hambre,826,45455,hambre,1
michael,827,45411,michael,1
completamente,830,45342,completamente,1
david,831,45220,david,1
carta,832,72589,carta|cartas,2
totalmente,833,45016,totalmente,1
novio,836,50093,novio|novios,2
frank,839,44615,frank,1
charlie,841,44589,charlie,1
traje,842,50322,traje|trajes,2
dirección,843,44229,dirección,1
siete,844,44169,siete,1
placer,846,49322,placer|place|placeres|plazca,4
tendrá,848,43656,tendrá,1
barco,849,51672,barco|barcos,2
blanco,850,86177,blanco|blanca|blancos|blancas,4
tom,851,43467,tom,1
servicio,853,55864,servicio|servicios,2
muchacho,854,100902,muchacho|muchachos|muchacha|muchachas,4
reunión,855,43217,reunión,1
ley,857,55667,ley|leyes,2
george,860,42765,george,1
programa,861,48045,programa|programas,2
carrera,862,50710,carrera|carreras,2
cumpleaños,863,42596,cumpleaños,1
culo,865,45137,culo|culos,2
hermoso,867,87800,hermosa|hermoso|hermosas|hermosos,4
universidad,868,44484,universidad|universidades,2
boda,869,49863,boda|bodas,2
decirme,870,42378,decirme,1
hacía,873,42256,hacía,1
estés,874,42240,estés,1
sala,875,42122,sala,1
decisión,877,42011,decisión,1
don,879,41978,don,1
sal,881,41725,sal,1
prisa,883,42623,prisa|prisas,2
carajo,884,44756,carajo|carajos,2
embargo,885,41642,embargo,1
tendrás,887,41583,tendrás,1
abuelo,889,82213,abuela|abuelo|abuelos|abuelas,4
detective,891,48063,detective|detectives,2
horrible,892,47657,horrible|horribles,2
suelo,893,42159,suelo|suelos,2
cárcel,895,41152,cárcel,1
acá,896,41151,acá,1
mike,898,41066,mike,1
siéntate,899,40993,siéntate,1
decía,900,40982,decía,1
vámonos,902,40700,vámonos,1
maldición,903,40681,maldición,1
silencio,904,40993,silencio|silencios,2
muerta,905,44833,muerta|muertas,2
capaz,906,50776,capaz|capaces,2
salió,907,40377,salió,1
club,908,44080,club|clubes|clubs,3
temer,910,59426,temo|temer|teme|temes|temen|temido|tememos|teman|temiendo|temida,10
broma,911,48015,broma|bromas,2
gobierno,912,41939,gobierno|gobiernos,2
cámara,914,40045,cámara,1
media,915,46984,media|medias,2
terrible,916,45897,terrible|terribles,2
llamó,917,39922,llamó,1
regalo,918,51950,regalo|regalos,2
querías,922,39797,querías,1
ataque,923,47956,ataque|ataques,2
navidad,925,41775,navidad|navidades,2
ocho,928,39524,ocho,1
investigación,930,39465,investigación,1
acabó,931,39429,acabó,1
juro,932,39329,juro,1
mantener,933,98723,mantener|mantiene|mantenga|mantengan|mantuvo|mantenido|mantienen|mantengo|manteniendo|mantienes|mantenemos|mantendremos|mantuve|mantengas|mantengamos|mantuvieron|mantened|mantuviera|mantuviste|mantuvimos|mantuvieras|mantenida,22
ejército,934,39290,ejército,1
papel,935,55808,papel|papeles,2
gracioso,938,47146,gracioso|graciosa|graciosos|graciosas,4
diría,939,39163,diría,1
principio,940,47053,principio|principios,2
delante,941,38898,delante,1
teniente,942,39097,teniente|tenientes,2
deseo,943,49710,deseo|deseos,2
nave,945,46068,nave|naves,2
basura,947,38848,basura|basuras,2
contacto,949,43824,contacto|contactos,2
esposo,950,49381,esposo|esposas|esposos,3
dale,953,37876,dale,1
verdadero,954,65810,verdadero|verdadera|verdaderos|verdaderas,4
tuya,955,42500,tuya|tuyas,2
alma,956,46123,alma|almas,2
hazlo,957,37804,hazlo,1
anda,960,37779,anda,1
tendré,961,37662,tendré,1
matrimonio,962,39771,matrimonio|matrimonios,2
saberlo,963,37540,saberlo,1
locura,964,39869,locura|locuras,2
oro,965,37500,oro,1
permiso,966,38978,permiso|permisos,2
director,967,45799,director|directora|directores,3
peligro,968,39748,peligro|peligros,2
libertad,969,38605,libertad|libertades,2
alegro,970,37403,alegro,1
maravilloso,977,59257,maravilloso|maravillosa|maravillosos|maravillosas,4
espacio,978,39137,espacio|espacios,2
rato,979,37744,rato|ratos,2
sorpresa,984,41209,sorpresa|sorpresas,2
maestro,990,52097,maestro|maestra|maestros|maestras,4
según,991,36882,según,1
infierno,992,37255,infierno|infiernos,2
podrían,993,36824,podrían,1
tía,995,36607,tía,1
crimen,996,36579,crimen,1
conocido,997,48370,conocido|conocida|conocidos|conocidas,4
consejo,998,43151,consejo|consejos,2
ante,999,36426,ante,1
iglesia,1000,38304,iglesia|iglesias,2
intento,1001,38312,intento|intentos,2
mayoría,1002,36167,mayoría,1
peter,1004,36107,peter,1
escena,1006,41516,escena|escenas,2
piso,1007,40557,piso|pisos,2
señal,1008,36012,señal,1
honor,1009,35990,honor,1
cerebro,1012,39260,cerebro|cerebros,2
vera,1013,41451,veras|vera,2
vestido,1018,42591,vestido|vestidos,2
inteligente,1019,41064,inteligente|inteligentes,2
caballo,1021,55434,caballo|caballos,2
bar,1024,38678,bar|bares,2
corte,1025,35435,corte,1
sucedió,1026,35426,sucedió,1
adentro,1027,35406,adentro,1
droga,1028,49867,drogas|droga,2
enseguida,1029,35331,enseguida,1
agradable,1031,37841,agradable|agradables,2
parecía,1033,35223,parecía,1
departamento,1034,36868,departamento|departamentos,2
lindo,1035,39170,lindo|lindos,2
duda,1037,46393,duda|dudas,2
edificio,1038,40922,edificio|edificios,2
cargo,1040,49906,cargo|cargos,2
víctima,1041,35048,víctima,1
luna,1042,36371,luna|lunas,2
energía,1043,34997,energía,1
baile,1046,37211,baile|bailes,2
misión,1048,34729,misión,1
ayudarte,1050,34637,ayudarte,1
paul,1052,34600,paul,1
deje,1054,64104,deje|dejes,2
finalmente,1055,34516,finalmente,1
daré,1057,34496,daré,1
sabías,1058,34453,sabías,1
creía,1061,34319,creía,1
regresar,1062,81457,regresar|regrese|regresado|regresen|regresamos|regresemos|regresaste|regresando|regresaremos|regresan|regresaron|regresara|regresaba|regresaras|regresare|regresaran|regresaban|regresad,18
llega,1063,34263,llega,1
sacar,1066,84259,sacar|sacado|sacaste|sacando|sacaron|sacamos|saquen|sacaremos|sacan|saquemos|sacaba|sacara|sacad|sacaran|sacaras|sacados|sacaban|sacare,18
opinión,1070,34009,opinión,1
verás,1071,34007,verás,1
linda,1072,34005,linda,1
apenas,1073,33969,apenas,1
cerveza,1075,39545,cerveza|cervezas,2
harás,1076,33809,harás,1
oír,1079,33646,oír,1
tendría,1080,33574,tendría,1
cuántos,1081,33572,cuántos,1
reina,1084,35137,reina|reinas,2
tema,1086,41539,tema|temas,2
prisión,1087,33396,prisión,1
porqué,1088,33393,porqué,1
ocurrió,1091,33319,ocurrió,1
veré,1092,33305,veré,1
salvar,1093,48867,salvar|salvaste|salvando|salvamos|salvaron|salven|salvada|salvara|salvaremos|salvemos|salvan|salvad|salvaras|salvadas|salvaba,15
partido,1094,36890,partido|partidos,2
joder,1096,80660,joder|jodido|jodida|jodan|jodas|jodidos|jodiendo|joda|jode|jodidas|jodiste|jodes|joden|jodieron|jodimos,15
causa,1097,36321,causa|causas,2
sargento,1099,33525,sargento|sargentos,2
cenar,1100,40339,cenar|cenamos|cenando|cenado|cenaremos|cenemos|ceno|cenaste|cene,9
compañero,1101,32947,compañero,1
llevó,1102,32910,llevó,1
banco,1103,39145,banco|bancos,2
existir,1104,57741,existe|existen|existir|existido|exista|existiera|existo|existes|existan|existimos|existiendo|existieran|existieron|existiese,14
ben,1105,32858,ben,1
zona,1106,36441,zona|zonas,2
destino,1107,33880,destino|destinos,2
base,1108,36348,base|bases,2
solía,1109,32665,solía,1
irse,1111,32623,irse,1
james,1113,32572,james,1
encuentro,1114,34389,encuentro|encuentros,2
encontró,1115,32539,encontró,1
pelea,1116,39780,pelea|peleas,2
san,1117,32450,san,1
norte,1118,32319,norte,1
coronel,1120,32219,coronel,1
apuesto,1121,44391,apuesto|apuesta|apuestos,3
viva,1123,32204,viva,1
max,1124,32182,max,1
excepto,1128,32005,excepto,1
juicio,1129,33784,juicio|juicios,2
podar,1130,32187,podamos|podar,2
llave,1131,55951,llave|llaves,2
equivocar,1132,61381,equivocado|equivocada|equivocados|equivocadas|equivocan|equivocaste|equivoque|equivocamos|equivocaba|equivocaron|equivoques|equivocando|equivocar|equivoquen,14
posición,1133,31835,posición,1
trasero,1134,35331,trasero|traseros,2
irnos,1135,31731,irnos,1
espalda,1136,40028,espalda|espaldas,2
excelente,1137,34541,excelente|excelentes,2
éxito,1138,31546,éxito,1
especie,1142,35254,especie|especies,2
teníamos,1143,31438,teníamos,1
diferencia,1144,35532,diferencia|diferencias,2
últimos,1147,31416,últimos,1
escúchame,1148,31386,escúchame,1
